latitude,longitude,snow_thickness
78.253448667,16.168188667,1.1008683907101569
78.253448667,16.168188667,1.146561661604585
78.253464667,16.168340833,1.0934134162332765
78.253464667,16.168340833,1.023487649246611
78.253479333,16.1684935,1.0456684638931948
78.253479333,16.1684935,1.1343991834158196
78.253492833,16.168647667,1.191666765278803
78.253492833,16.168647667,1.1445338996992915
78.2535065,16.168803667,1.191603741222114
78.2535065,16.168803667,1.1796951098902095
78.253519833,16.1689605,1.1116105608545264
78.253519833,16.1689605,1.2379976982150855
78.253532333,16.169116,1.31159623286777
78.253532333,16.169116,1.2762228715501347
78.253544333,16.169276167,1.1854722519513214
78.253544333,16.169276167,1.094721632352508
78.253557,16.169431167,1.0472398773206093
78.253557,16.169431167,1.0643580698888084
78.253570667,16.1695805,1.044877466429026
78.253570667,16.1695805,0.983522731419154
78.253584667,16.169722,1.023444949217296
78.253584667,16.169722,1.0759758540009432
78.2536005,16.169856167,1.1085789471338037
78.2536005,16.169856167,1.0129874212397876
78.2536195,16.169985333,0.996858935010295
78.2536195,16.169985333,0.9681972016759006
78.253639,16.170105,0.9899979083848728
78.253639,16.170105,1.0175688364080155
78.253659333,16.170217833,1.0198641087573723
78.253659333,16.170217833,1.0039928785365118
78.253679833,16.170328667,0.917415205518716
78.253679833,16.170328667,0.8887169877787389
78.253699167,16.170443667,0.9156432998983042
78.253699167,16.170443667,0.9425696120178696
78.253717,16.170567667,0.9767546669547124
78.253717,16.170567667,1.0261420111006825
78.253734667,16.170694,1.0249960003889185
78.253734667,16.170694,1.0233848763824995
78.253749833,16.170828333,1.0217737523760806
78.253749833,16.170828333,1.0260384677655952
78.2537645,16.170969,1.087045242029824
78.2537645,16.170969,1.155607642306808
78.253778833,16.171110833,1.106194894381408
78.253778833,16.171110833,1.0008449746018984
78.253793333,16.1712495,1.016462683624001
78.253793333,16.1712495,1.0353956222774812
78.2538075,16.171388333,1.0951395695786033
78.2538075,16.171388333,1.0205270806810929
78.253820333,16.171528167,1.0146336683458492
78.253820333,16.171528167,1.025373197854016
78.253834167,16.171669667,1.036112727362182
78.253834167,16.171669667,1.0852997064987049
78.2538475,16.1718125,1.133949603128653
78.2538475,16.1718125,1.1344149007181512
78.253860667,16.171950333,1.1572381227071589
78.253860667,16.171950333,1.189915344329992
78.253873667,16.172086667,1.1910813152082194
78.253873667,16.172086667,1.1640889657561102
78.2538845,16.172225333,1.1292301008899583
78.2538845,16.172225333,0.9796634161261756
78.253895833,16.172362,0.9848718154190252
78.253895833,16.172362,1.0282617082142365
78.253908,16.172498167,1.032552083011394
78.253908,16.172498167,1.050746276255311
78.253920667,16.172634833,1.0664029768713033
78.253920667,16.172634833,1.0469839684029258
78.253933,16.172770333,1.041563269627989
78.253933,16.172770333,1.0908799672649503
78.253944667,16.1729065,1.075104177372183
78.253944667,16.1729065,0.9705736923833426
78.253957,16.173039333,0.9715587177234956
78.253957,16.173039333,0.9900109084384
78.253970167,16.173173667,0.999417268799108
78.253970167,16.173173667,1.0137814548892403
78.253982333,16.173310167,1.0240440818829308
78.253982333,16.173310167,1.0004590165667444
78.253995,16.173448667,1.015467131613224
78.253995,16.173448667,1.12739944944142
78.254007833,16.1735885,1.1703627562792582
78.254007833,16.1735885,1.0829585152881962
78.254021333,16.173729333,1.0730125097552377
78.254021333,16.173729333,1.063066504222279
78.254036667,16.173869167,1.0347110273833175
78.254036667,16.173869167,1.0163364057847684
78.25405,16.174018833,1.0427420755437382
78.25405,16.174018833,0.9735491581000352
78.254062,16.1741685,0.9670703554296058
78.254062,16.1741685,0.9741722811663164
78.254075167,16.174310333,0.9582069266941068
78.254075167,16.174310333,0.9422415722218972
78.254088333,16.174457,0.9147413377643014
78.254088333,16.174457,0.8845263692947141
78.2541025,16.174606333,0.9377216539412973
78.2541025,16.174606333,0.9804076236977736
78.254117167,16.174754667,0.979202186760792
78.254117167,16.174754667,1.0076415814524036
78.254131667,16.1749055,0.9811327194040992
78.254131667,16.1749055,0.9079472483432968
78.254144833,16.175053333,0.934026755586118
78.254144833,16.175053333,0.9606095366758842
78.2541585,16.175199833,0.9346842290290568
78.2541585,16.175199833,0.898378834666006
78.2541725,16.175340333,1.0010852889105346
78.2541725,16.175340333,1.023877979305639
78.254184833,16.1754795,1.0254977652690775
78.254184833,16.1754795,1.0269955678103757
78.254197167,16.175623667,0.965655197010998
78.254197167,16.175623667,0.9443427671191836
78.254208833,16.175765833,0.9945970591443768
78.254208833,16.175765833,1.0298426116273525
78.254221,16.175908833,1.0126306787651096
78.254221,16.175908833,0.9480790975072856
78.254234333,16.176052333,0.98697817497372
78.254234333,16.176052333,1.0475340378326357
78.254247667,16.1761965,1.109043527657868
78.254247667,16.1761965,1.1081215661549813
78.254261833,16.176338667,1.0961176977861675
78.254261833,16.176338667,1.0233354148332516
78.254275,16.176481333,1.0786322397932804
78.254275,16.176481333,1.1317839554239155
78.254286333,16.176626333,1.0988538570542248
78.254286333,16.176626333,1.054066356151666
78.254299333,16.1767725,1.0173539250259676
78.254299333,16.1767725,0.9836652502208868
78.2543135,16.176915833,0.9499765754158064
78.2543135,16.176915833,0.9384311548680287
78.254327167,16.177057333,0.9687647537311492
78.254327167,16.177057333,0.9733448721440456
78.254340167,16.177201667,0.9779249905569424
78.254340167,16.177201667,0.9102102283100896
78.254351167,16.177345,0.906259861014248
78.254351167,16.177345,0.9074550220953772
78.2543635,16.177486167,0.9495623668631294
78.2543635,16.177486167,0.9804915423784816
78.254377833,16.177627833,0.9716523302159934
78.254377833,16.177627833,0.9686402958289444
